id,nome,descricao,criado_em,categoria,updated_at
1cd56d67-2891-4b44-8873-4611318e8270,Painel Status das Unidades,,2026-05-25 18:46:46.900993+00,painel,2026-05-26 20:49:42.173+00
414bfec8-e824-4e0d-983e-dbd17d1c28b4,Módulo Pendências,,2026-05-26 13:38:01.806349+00,modulo,2026-05-26 13:45:06.961+00
6561c960-fc14-42f5-8963-be39c5954e00,Módulo Aplicação Geral,,2026-05-26 23:30:42.811234+00,modulo,2026-05-27 16:21:36.018+00
8be27730-7d15-4b10-8a96-1c83e2ea7acf,Módulo Justificativas,,2026-05-26 13:28:12.126684+00,modulo,2026-05-26 13:38:11.874+00
a800b9b6-e423-4c3b-ab36-e61bb52d24f3,Painel Resumo de alertas,,2026-05-26 00:19:18.498972+00,painel,2026-05-26 13:56:25.941+00
b50fd673-8d58-4180-b2ef-47955935fdae,Painel Taxa de ocupação detalhada,,2026-05-26 00:18:36.02045+00,painel,2026-05-26 13:54:33.15+00
bb4ff8f0-77fe-4589-b2ff-63f0d04b314d,Módulo Alertas,,2026-05-26 13:12:19.023976+00,modulo,2026-05-26 13:19:50.01+00
bcac9f5d-a0c5-43d6-9739-e13737ef3a1c,Painel Pendências do sistema,,2026-05-26 00:19:40.180539+00,painel,2026-05-26 13:57:26.311+00
d24bce9e-98e4-48b6-919d-195e5919096e,Módulo Analista,,2026-05-26 13:20:20.032396+00,modulo,2026-05-26 13:27:55.768+00
e7843f54-a3a7-4e54-8149-7217496fcd6e,Painel Atendimento por estado,,2026-05-26 00:18:17.754479+00,painel,2026-05-26 14:08:17.618+00